ht,un,upn,wn,vn,at,gr,is,eg,ws,tt,ct,tw_pp,wt,tr_pt,ts,fep,tc,tf,te,we,ce,ep
Flood Plains,Sarishabari,Pogoldigha,4,Monar para,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),400,Manually with buckets
Haor,Itna, Itna,8,Purbogram,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Niamatpur,Hazinagar,4,Belhatti,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Brick masonry,Roof exists but is not adequate to protect from rain,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Niamatpur,Hazinagar,4,Belhotti,Rural ,Male,Day labour ,Bengali,Hard-core poor,,,Walls exist but do not provide adequate privacy,Cloth/sack,Roof exists but is not adequate to protect from rain,Smooth earth/mud,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Haor,Itna, Itna,8,purbogram,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,No roof,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Household members ,,Manually with buckets
Haor,Itna, Itna,8,Purbogram,Rural ,Female,Social safety net programme ,Bengali,Hard-core poor,,,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Itna, Itna,8,Purbogram,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Pit/tank with channel to open drain or water bodies,"Yes, walls exist and provide privacy",Metal sheet,No roof,Smooth earth/mud,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Haor,Itna, Itna,8,purbogram,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Pit/tank with channel to open drain or water bodies,"Yes, walls exist and provide privacy",Metal sheet,Roof exists but is not adequate to protect from rain,Smooth earth/mud,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Bholahat,Jambaria ,4,Andipur,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Cloth/sack,No roof,Non-smooth material,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, partly functional",Yes emptied,Individuals who are not part of the household and who are paid for this job (hired daily laborer),500,Manually with buckets
Barind,Niamatpur,Hazinagar,4,Belhotti,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Bholahat,Jambaria ,4,Andipur,Rural ,Male,Agriculture ,Bengali,Hard-core poor,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,No roof,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible",No - toilet is collapsed/abandoned,Yes emptied,A service provider (person or firm contracted to empty the toilet),600,Manually with buckets
Barind,Niamatpur,Hazinagar,4,Belhatti,Rural ,Male,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Brick masonry,Roof exists but is not adequate to protect from rain,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Household members ,,Manually with buckets
